mt1	mt2   	fin	lab	hw	Att.
72	56	41	88	21	63
64	37	16	88	51	67
38	48	36	86	12	80
49	68	50	89	8.1	73
73	71	41	89	64	90
6	13	0	78	65	81
85	69	67	95	76	59
64	21	32	86	82	100
52	55	31	87	18	89
64	63	59	91	97	83
62	54	16	87	39	80
41	10	3	80	0	35
94	70	82	94	93	100
49	70	17	86	20	63
18	32	37	75	56	7
59	47	24	82	86	93
71	77	56	82	43	68
2	52	19	85	63	67
85	76	69	85	63	0
71	48	53	84	77	95
59	50	57	82	49	70
89	94	79	97	94	96
37	16	20	89	21	0
74	85	69	90	88	63
63	64	50	88	58	90
66	78	60	92	0	30
60	76	35	81	9.3	80
42	42	26	84	23	48
70	84	48	89	90	95
71	46	36	86	27	33
43	6	10	82	77	63
68	72	51	81	93	100
49	39	40	91	51	60
57	40	26	84	66	52
48	35	42	86	45	93
78	82	55	89	90	100
36	42	20	88	3.6	81
79	64	47	86	93	58
70	74	55	87	0	11
95	76	59	92	87	89
33	67	46	85	44	95
65	47	33	90	0	0
66	69	72	89	91	89
56	47	73	82	64	52
69	91	61	91	91	100
93	75	84	95	29	100
96	70	86	94	93	89
19	9	6	84	59	100
71	56	42	88	86	33
80	60	39	84	80	96
50	60	40	91	93	100
69	74	37	83	1.8	81
67	60	55	85	48	67
69	52	46	80	92	84
83	70	64	94	94	89
11	53	38	86	85	80
61	53	34	81	0	0
67	76	48	85	75	70
63	88	46	84	52	96
30	26	3	92	41	83
76	79	49	88	94	89
64	53	37	88	70	59
34	70	53	86	48	96
71	75	54	91	76	96
79	46	58	84	7.8	95
60	83	73	99	86	95
71	49	54	92	0	85
33	27	14	85	91	100
49	57	55	85	67	81
79	68	34	91	0	0
22	12	13	84	0	96
42	46	38	83	77	100
83	70	68	93	84	41
71	69	30	85	58	33
58	69	26	92	57	85
73	76	73	92	93	100
72	56	48	85	25	74
64	36	42	87	73	74
62	57	49	81	15	26
66	73	61	87	29	37
69	76	68	97	95	100
28	27	11	86	49	85
60	59	32	92	0	59
67	46	54	85	38	100
99	80	69	89	97	100
56	65	45	91	69	81
40	73	32	79	0	0
50	72	41	84	85	0
76	52	47	91	87	96
55	39	39	86	80	96
75	59	62	94	59	85
27	5	5	84	30	93
55	33	17	98	5.6	7
87	77	64	89	73	100
50	53	65	88	9.8	63
72	57	29	90	60	48
68	32	41	82	27	81
50	54	63	94	87	93
69	79	62	94	96	89
20	39	8	90	86	52
45	41	50	88	77	67
55	62	52	84	43	55
76	89	78	94	69	100
13	48	34	87	0	23
68	51	16	87	0	48
66	74	62	89	47	100
65	79	79	90	84	100
62	57	43	86	23	83
58	45	29	86	86	56
63	70	59	84	78	65
46	52	43	80	0	40
51	73	40	88	51	93
64	41	15	84	62	33
42	53	37	85	5	4
54	45	21	83	8.5	10
49	54	41	82	73	100
39	25	34	88	82	100
77	82	58	95	62	100
69	64	57	88	71	0
64	64	39	86	9	37
40	38	27	55	0	0
47	64	31	86	73	88
57	61	46	89	70	96
61	63	62	94	94	94
84	76	88	90	92	85
62	50	31	83	18	33
61	72	71	89	71	86
56	77	71	91	61	61
81	66	77	97	90	91
50	48	50	97	68	90
75	62	63	88	75	90
61	19	13	85	37	36
55	61	23	84	43	70
32	43	36	84	44	83
39	65	36	89	58	78
27	16	5	88	6.4	54
29	42	24	85	0	65
79	73	45	87	16	8
85	73	69	96	90	100
51	65	33	86	55	95
68	74	39	96	56	68
76	95	81	92	93	50
92	61	66	86	65	0
55	65	56	80	91	78
66	61	70	86	0	61
88	91	58	95	57	81
71	74	30	88	94	56
61	76	50	90	26	50
91	80	78	89	71	79
51	28	26	90	89	100
54	65	49	90	67	35
51	32	33	88	87	97
51	29	41	83	94	97
71	46	30	86	21	97
47	47	11	89	36	20
81	60	29	86	20	32
48	43	34	88	72	78
43	15	8	86	78	90
83	78	69	89	56	48
82	58	63	87	96	70
66	73	61	92	83	83
82	68	76	88	88	76
67	78	56	88	0	0
42	32	14	92	96	65
91	66	82	98	94	100
49	54	25	82	95	78
89	88	57	92	84	54
62	45	52	88	63	96
49	50	26	89	53	22
34	32	27	68	0	12
73	76	76	99	94	85
16	21	0	73	1.8	54
50	76	25	92	84	67
47	55	47	86	0	54
65	62	50	90	30	46
56	78	36	82	94	56
41	53	39	91	61	76
82	53	36	91	88	100
84	68	59	89	89	94
51	38	27	92	54	97
72	58	50	86	91	83
71	39	33	93	94	100
61	47	56	87	84	68
15	28	24	84	79	94
76	76	79	94	94	89
67	70	22	93	36	46
89	69	48	88	43	47
44	52	43	89	77	88
76	73	41	82	64	77
53	58	44	88	33	77
72	55	24	93	52	41
63	48	45	92	0	22
49	32	34	79	85	24
78	75	54	86	61	54
57	64	40	87	88	76
61	47	36	91	77	96
54	48	21	91	96	31
50	53	43	89	89	86
66	56	48	89	63	47
78	73	54	87	46	50
42	58	25	89	53	33
51	49	48	90	73	0
50	80	37	85	61	62
56	63	41	82	73	77
69	67	47	87	0	54
68	57	52	77	21	65
55	30	28	86	90	92
57	54	39	86	42	33
58	39	41	91	96	93
79	62	37	86	0	12
86	79	51	88	77	72
62	26	47	87	43	96
38	38	13	81	0	43
73	56	57	84	60	72
51	38	17	80	23	79
48	49	47	64	12	2
33	14	20	80	61	52
